Colonne1;Nom;nbr_place;Prix;Description;Durée;Période
TURQUESTEIN-BLANCRUPT;Circuit du haut de halmoze;5;12;Alternance de routes forestières et de sentiers étroits pour ce petit circuit qui surplombe la vallée de Turquestein dans un environnement de forêts de feuillus.;02:01:58;SOIR
SAINT-QUIRIN;Circuit du lampertstein;1;13;C'est le nom donné à l'impressionnant rocher qui surplombe la vallée de la Charmille que l'on atteint par de jolis sentiers forestiers qui ouvrent sur un magnifique panorama.;03:14:13;APRES-MIDI
CORCIEUX;CIRCUIT - LES GRAVIÈRES DES GRANDES NOLLES;4;19;"Balisage : panneaux verts ""castors"". Distance : 4km.
Départ : Office de tourisme. 
Prenez la direction de l’église, traversez le rond-point et prenez la rue de l’Hôtel de Ville sur le trottoir de droite. Sur la place de la mairie, prenez à droite la 1ère rue qui descend vers les deux salles de sport et le collège. Continuez tout droit sur la petite route goudronnée interdite aux véhicules à moteur. Vous arrivez au lotissement ""Devant le Château"" que vous traversez en allant toujours tout droit. Au bout de la rue, tournez à droite (panneau Castors). Vous arrivez sur la route de La Houssière, tournez à droite puis à gauche 30 m plus loin (panneau Castors). En traversant, soyez prudents ! Passez devant le parking des Gravières où se trouve le premier panneau explicatif et empruntez à gauche le chemin qui longe la rivière le Neuné. Dès le départ du circuit, sur les berges, vous pourrez apercevoir des traces du travail des castors * : certains arbres témoignent de leur activité de rongeurs efficaces. 
Laissez le pont de bois qui enjambe la rivière le Neuné sur votre droite et continuez tout droit jusqu’au premier étang, le plus grand. Il est équipé de 2 pontons pour les pêcheurs et les observateurs de la vie aquatique. À l’extrémité de l’étang, sur la rive opposée, on distingue une hutte de castors (panneau et banc). Si vous venez à la nuit tombante, vous aurez peut-être la chance de voir un ou deux castors, à condition d’être très discrets : ce sont des animaux très craintifs…
Continuez sur le sentier dans le sens inverse des aiguilles d’une montre. Attention en passant sur les petits ponts qui enjambent les étangs, ils peuvent être glissants. Tout au long du parcours, lisez les panneaux explicatifs et ludiques. Au retour, sur votre droite une grosse hutte : artificielle, bien sûr, elle a été construite à l’occasion d’une fête de l’eau. La boucle vous ramène au grand pont de bois qui enjambe le Neuné.
Traversez la rivière pour rejoindre la rue de la Gare en passant devant la station d’épuration. Tournez à droite, passez devant la fromagerie et la place de l’église pour revenir au point de départ. Le retour peut aussi se faire par le même chemin qu’à l’aller.
L’histoire récente de ce lieu commence, dans les années 1970, lorsque la fromagerie Marcillat agrandit ses locaux. Pour effectuer les travaux, elle a prélevé des matériaux (appelés tout-venant) dans le sol, ce qui a donné naissance à plusieurs gravières. Laissées à l’abandon, elles se sont remplies d’eau et ont servi de décharge. Dans les années 2000, la commune de Corcieux a entrepris la réhabilitation de ce site pour en faire un lieu de promenade et une zone favorable à la conservation d’une forte biodiversité. Les abords du Neuné ont aussi été aménagés. Les panneaux pédagogiques, implantés pour vous faire découvrir la richesse de ce lieu, au niveau de la flore, de la faune, de la géologie, de la géographie, ont été réalisés par Laurent Cagniat, dessinateur de bandes dessinées, résidant à Corcieux, et plusieurs enseignants de l’école élémentaire. 
Il est conseillé de mettre de bonnes chaussures de randonnée, prévoir également la boisson dans un sac à dos, tenir votre chien en laisse et respecter les sentiers.

A voir :
LES CASTORS : Introduits au bord de la Moselle en 1983, ils se sont multipliés et ont fait leur chemin en remontant jusqu’aux plus petites rivières, dont le Neuné qui passe à Corcieux. Souvent considérés comme animaux nuisibles (ils peuvent faire d’énormes dégâts en abattant des arbres, rongés à la base), ce sont en fait des animaux protégés.
LA RENONCULE LANGUE (présente sur le site des Gravières) : C’est une grande plante rare, herbacée de la famille des Renonculacées, protégée en France à l’échelle nationale. Elle fleurit de juin à août. C’est une plante toxique avec une partie immergée et l’autre aérienne. Elle peut atteindre 1,20 m. Ses feuilles, originales, sont très longues.";01:19:21;SOIR
LA BRESSE;PISTE PIÉTONS RAQUETTES DE LA FORÊT BLANCHE;3;14;"Piste damée, balisée et qui bénéficie des services de secours des pistes (de 9h à 17h) pour permettre à tous de profiter des joies de la neige sans danger. A raquettes, à pied avec les enfants en luge ou avec la poussette tout terrain de bébé (selon les conditions), la piste est idéale pour vivre un moment de détente en famille (espace pique-nique sur le bord de la piste). Distance : 6 km (90 m de dénivelé) ou piste raccourcie de 3 km. Départ et billetterie (de 9h à 17h) au niveau du départ ski de fond de La Bresse-Lispach. Accès payant. Animaux non acceptés. Location de babyluge pour les 1 à 2 ans, de babysnow pour les 2 à 5 ans et de snowkick (trottinette des neiges) pour les plus grands sur place (selon disponibilités). Fiches jeu de piste ""Randoland"" pour les 4/12 ans offertes en caisse.";03:47:51;APRES-MIDI
SAINT-QUIRIN;Circuit des sept roses;2;13;"Saint-Quirin classé parmi les plus beaux villages de France possède un riche patrimoine : sept sanctuaires appelés les ""Sept Roses"" sont à découvrir à Saint-Quirin et dans les communes dépendantes du Prieuré. Parcours pédestre de 15 km.
Les Roses désignent les lieux de culte de la paroisse de Saint-Quirin. Cet itinéraire permet de découvrir 6 de ces 7 églises dans un cadre forestier exceptionnel.";02:57:08;MATIN
SAINT-SAUVEUR;CIRCUIT DU COL DE LA CHAPELOTTE;4;18;"Le Col de la Chapelotte offre une excellente possibilité de découvrir un champ de bataille de montagne. Le front s'y est figé début mars 1915 pour près de 50 mois ! 
Vu le profil  du  terrain et  la  densité  des ouvrages, toutes les offensives auraient été extrêmement coûteuses et auraient nécessité des moyens que les deux armées n'avaient pas. La proximité des lignes (15 à 20 mères en deux points), a conduit à y mener une guerre souterraine de 30 mois. Elle a nécessité la concentration de moyens techniques de plus en plus importants. Le grès des Vosges a été broyé par 55 explosions  souterraines sur un front de 300 mètres, la dernière ayant eu lieu à près de 75 mètres de profondeur. L'association Guerre  en  Vosges  propose des visites guidée du Col de la Chapelotte, ainsi que la  visite du Centre d'interprétation et de Documentation de La Ménelle.";02:32:36;SOIR
MOURENX;Balade à Roulettes n°30 Le Sentier des Chênes à Mourenx;3;16;Idéal pour famille, petit vélo, fauteuil roulant. Ce parcours sportif bien équipé est un lieu de promenade privilégié dans un bois de chênes pédonculés.;03:09:58;MATIN
BIARRITZ;Balade à Roulettes n° 16 Le lac Marion à Biarritz;6;19;"Tous près de la mer et des sites mythiques de Biarritz, voici une promenade paisible et rafraîchissante au bord du Lac Marion .
Découvrez les balades accessibles à tous.";01:23:59;SOIR
MORTEAU;Espace Morteau - Activités été;2;18;Des moniteurs brevetés d'Etat vous proposent des activités  : tir à l'arc, GPS Safari, course d'orientation, randonnée pédestre, VTT,  spéléo, canoé..;03:27:26;SOIR
CHARQUEMONT;Station de Loisirs de la Combe Saint-Pierre;1;16;La station de la Combe Saint-Pierre propose des activités sportives et de loisirs en plein air, dans le Haut Doubs, à quelques kilomètres de la Suisse;00:06:45;APRES-MIDI
VILSBERG;Circuit de l'eselbahn;2;11;"Une randonnée qui vous mène sur une partie du tracé de l'Eselbahn*, ancienne voie métrique reliant Lutzelbourg à Drulingen qui permettait d'acheminer les blocs de grès taillés dans les carrières de Vilsberg et Hangviller jusqu'au canal de la Marne au Rhin à Lutzelbourg. (*Esel = âne: illustre la vitesse moyenne du convoi)

Pour télécharger le circuit en PDF, copiez ceci dans la barre de recherche de votre navigateur : 
https://www.paysdephalsbourg.com/wp-content/uploads/2022/05/18-CIRCULAIRE-ESELBAHN.pdf";04:01:34;MATIN
