place;COMMUNE;prix;date_end;date_start;Etoiles
12 boulevard de Denain;;PARIS 10E ARRONDISSEMENT;111;27/10/2021;20/10/2021;1
11 Place de l'Hôtel de ville;;BARR;288;30/03/2023;20/03/2023;1
6 Avenue Victor Hugo;;PARIS 16E ARRONDISSEMENT;202;25/02/2025;18/02/2025;4
550 Boulevard Sébastien Brandt;;ILLKIRCH-GRAFFENSTADEN;278;02/11/2022;24/10/2022;5
23 rue de lyon;;PARIS;85;30/12/2024;23/12/2024;3
14 rue Papillon;;PARIS 9E ARRONDISSEMENT;225;01/10/2021;22/09/2021;4
7/9 Rue Pierre Chausson;;PARIS 10E ARRONDISSEMENT;289;28/02/2022;21/02/2022;1
1 avenue des thermes;;CAZAUBON;296;25/11/2022;18/11/2022;4
ESIGNA;;COGGIA;104;28/07/2024;23/07/2024;4
route du Val de Cuech;;SALON-DE-PROVENCE;191;16/11/2022;09/11/2022;5
Lieu-dit Vialard;;CARSAC-AILLAC;82;09/05/2023;02/05/2023;4
60 avenue jean jaurès;;BRIVE-LA-GAILLARDE;299;06/04/2023;27/03/2023;3
112 chemin de lubet;;SAINT-PIERRE-DU-MONT;184;09/04/2023;31/03/2023;3
4-6 boulevard de Dresde;;STRASBOURG;201;05/07/2023;29/06/2023;4
9000 route d'Annecy, Zone de Cervonnex;;SAINT-JULIEN-EN-GENEVOIS;237;29/01/2023;23/01/2023;1
2 rue de la Haye;;DUGNY;213;14/02/2022;08/02/2022;4
6 rue Gustave Charpentier;;PARIS;166;01/01/2025;23/12/2024;5
30 bis avenue parmentier;;PARIS;236;20/09/2024;12/09/2024;2
6 rue Lainerie;;LYON 5E ARRONDISSEMENT;282;29/04/2024;24/04/2024;1
6 avenue Coligny;;LA ROCHELLE;176;04/04/2022;28/03/2022;5
Avenue Gustave Eiffel;;DÉOLS;169;13/12/2024;03/12/2024;5
90 BIS BOULEVARD SOLIDARITE;;METZ;222;01/11/2023;24/10/2023;1
Rue de Paon;;SAINT-BARTHÉLEMY-D'ANJOU;232;30/03/2022;24/03/2022;3
8 BOULEVARD DU SEMNOZ;;SEYNOD;148;05/11/2023;30/10/2023;3
RUE DES BICHES;;VILLE-LA-GRAND;157;08/11/2023;31/10/2023;5
AUTOROUTE A85;;ATHÉE-SUR-CHER;154;18/01/2024;09/01/2024;4
11 avenue des coquelicots;;BEAURAINS;61;28/06/2019;21/06/2019;1
A 63  aire de Bordeaux Cestas;;CESTAS;130;03/08/2023;24/07/2023;5
ZAC de l'échangeur;;BOURGES;196;22/03/2024;14/03/2024;4
7 rue René Cassin;;SAINT-CONTEST;266;31/01/2022;24/01/2022;3
5 avenue de la Gardette;;CARBON-BLANC;111;10/12/2022;01/12/2022;4
Rue de la Maladrerie;;LE COUDRAY;300;10/02/2023;02/02/2023;3
Rue de l'Eminée;;CLERMONT-FERRAND;125;24/05/2024;14/05/2024;4
80 A rue de Longeville;;CREUTZWALD;116;01/11/2023;24/10/2023;3
RUE DU DOCTEUR BIENFAIT;;ISSOIRE;84;29/04/2024;24/04/2024;5
2 rue Louis Chappée;;SAINT-SATURNIN;153;10/06/2023;31/05/2023;4
385 route de Vienne;;VÉNISSIEUX;184;09/02/2024;01/02/2024;2
RUE ANDRE CITROEN ZONE DE LA LOUE;;SAINT-VICTOR;175;03/05/2024;24/04/2024;5
rue de Beaumont;;NOYELLES-GODAULT;239;28/06/2019;21/06/2019;4
3 Boulevard des Artisans;;BAILLY-ROMAINVILLIERS;241;06/12/2022;29/11/2022;4
6 rue Galilée;;MITRY-MORY;300;09/05/2022;02/05/2022;1
1 route de Villoison;;VILLABÉ;130;29/07/2020;21/07/2020;4
rue de la maison Coupée;;POITIERS;80;30/06/2023;23/06/2023;5
Rue Louis Amstrong;;RIOM;186;07/02/2022;28/01/2022;4
1 rue Edouard Branly;;MABLY;159;20/07/2024;12/07/2024;3
75 avenue de la Mare Sansoure;;PETIT-COURONNE;275;23/03/2022;17/03/2022;4
161 CHEMIN DES ENTRAGES;;SALON-DE-PROVENCE;153;02/07/2024;24/06/2024;4
98 route de Buchel;;THIONVILLE;281;20/12/2022;15/12/2022;4
35 bis route de Toulouse;;CORNEBARRIEU;169;25/01/2025;17/01/2025;4
89 route d’Auxerre;;SAINT-ANDRÉ-LES-VERGERS;112;09/05/2022;02/05/2022;5
47 avenue des Auréats;;VALENCE;70;13/12/2022;05/12/2022;5
Parc Vendée Atlantique;;SAINTE-HERMINE;82;13/03/2020;04/03/2020;1
10 rue de la Grande Malouve;;BERNAY;162;16/06/2022;08/06/2022;5
63 rue Thiers;;BOULOGNE-BILLANCOURT;233;22/03/2022;16/03/2022;3
Boulevard du Souvenir Français;;LES SABLES-D'OLONNE;63;02/05/2022;26/04/2022;2
40 Avenue Henri Malacrida;;AIX-EN-PROVENCE;299;19/04/2024;10/04/2024;4
25 Boulevard Estienne d'Orves;;SANARY-SUR-MER;237;28/07/2018;19/07/2018;1
Chemin de la jubeaudière;;MÛRS-ERIGNÉ;132;06/12/2024;28/11/2024;1
2714 route de Laguens;;LÉON;159;18/08/2022;10/08/2022;2
60 chemin de la Jalonnière;;LE PERRIER;287;13/07/2023;06/07/2023;3
maison ospitalia;;HÉLETTE;60;28/09/2022;21/09/2022;5
route de l'ilot;;SAINT-AUGUSTIN;151;29/07/2023;21/07/2023;1
24 chemin de la Plaine;;AYZAC-OST;294;16/08/2023;08/08/2023;2
19 rue Houndaa;;CASTET;251;27/09/2022;21/09/2022;4
Départementale 22;;SUHESCUN;207;20/10/2022;14/10/2022;2
Route de Lambarre;;ORDIARP;69;06/11/2022;27/10/2022;3
Mas la Devèze;;MONTOULIEU;140;11/06/2022;02/06/2022;2
6 rue des Jonquilles;;HURECOURT;266;01/06/2021;25/05/2021;5
468 chemin de Jean de Paul;;SAINT-JULIEN-EN-BORN;116;02/07/2022;22/06/2022;3
Quartier le Moulin;;PRADELLE;130;03/10/2021;23/09/2021;2
La ferme de Rieumontagné;;NAGES;139;09/10/2020;02/10/2020;4
226 chemin de Franc;;MOLIETS-ET-MAA;136;14/09/2022;08/09/2022;2
Lieu dit Haouré;;POUYLEBON;202;08/10/2023;02/10/2023;2
25 rue du Fort Samson;;GRANDCAMP-MAISY;87;03/05/2022;26/04/2022;1
La Borde;;BOURNAZEL;118;18/07/2024;12/07/2024;1
Lieu-dit Keraluic;;PLOMEUR;80;19/04/2022;13/04/2022;5
Lieu-dit Valeyran Brivezac;;BEAULIEU-SUR-DORDOGNE;229;12/09/2021;03/09/2021;3
1674 chemin de Mayotte;;BISCARROSSE;129;06/05/2022;26/04/2022;3
77 route de Saint-Malo de La Lande;;AGON-COUTAINVILLE;109;08/08/2021;30/07/2021;5
Village de l'Église;;SAINT-MARTIN-D'AUBIGNY;83;04/11/2021;26/10/2021;4
Lieu-dit Le Mas De Rome;;GOURDARGUES;253;17/10/2022;11/10/2022;5
1284 route des Carroués;;HERM;92;23/06/2022;16/06/2022;4
Lieu-dit Valeyran Brivezac;;BEAULIEU-SUR-DORDOGNE;116;09/09/2021;03/09/2021;4
987 route de Pelussin;;MACLAS;109;31/10/2023;25/10/2023;4
115 rue charles duchesne;;AIX-EN-PROVENCE;150;24/11/2023;16/11/2023;4
6-8 rue du puits de la ville;;CHAURAY;134;02/06/2024;27/05/2024;3
369 Route des Asnières;;ALBY-SUR-CHÉRAN;228;02/11/2022;24/10/2022;3
34 ter rue de la Tour d'Auvergne;;PARIS;85;07/05/2024;29/04/2024;3
66 avenue Bosquet;;PARIS 7E ARRONDISSEMENT;177;29/09/2023;21/09/2023;3
22 rue du Grand Prieuré;;PARIS;186;13/03/2023;07/03/2023;3
13-15 Place des Marseillaises;;MARSEILLE;238;11/01/2020;06/01/2020;2
Lieu-dit Petit-Chêne;;MAZIÈRES-EN-GÂTINE;133;14/01/2023;04/01/2023;5
2 allée Antoine Osete;;TOULOUSE;230;30/03/2022;21/03/2022;4
16 Avenue d'alsace;;BEAUSOLEIL;158;03/07/2023;26/06/2023;2
45 rue du Faubourg Madeleine;;BEAUNE;98;28/11/2023;22/11/2023;3
33 COURS GUYNEMER;;COMPIÈGNE;215;23/10/2024;14/10/2024;2
